depth,permeability,porosity,Pozo
7159.5,0.0,0.0,well1
7160.0,0.0,0.0,well1
7160.5,0.0,0.0,well1
7161.0,0.0,0.0,well1
7161.5,0.0,0.0,well1
7162.0,0.0,0.0,well1
7162.5,0.0,0.0001,well1
7163.0,0.0,0.0005,well1
7163.5,0.0,0.0009,well1
7164.0,0.0,0.0016,well1
7164.5,0.0,0.0019,well1
7165.0,0.0,0.0023,well1
7165.5,0.0,0.0031,well1
7166.0,0.0001,0.0042,well1
7166.5,0.0,0.0037,well1
7167.0,0.0,0.0034,well1
7167.5,0.0003,0.0077,well1
7168.0,0.1546,0.0162,well1
7168.5,22.8318,0.0648,well1
7169.0,166.5689,0.1298,well1
7169.5,1387.8658,0.1711,well1
7170.0,4643.7988,0.2123,well1
7170.5,4078.5823,0.2069,well1
7171.0,3318.1167,0.2015,well1
7171.5,3416.4148,203,well1
7172.0,3589.1189,0.2045,well1
7172.5,3459.7378,0.2033,well1
7173.0,3056.7,202,well1
7173.5,1604.7473,0.1843,well1
7174.0,734.6833,0.1667,well1
7174.5,167.5753,0.1315,well1
7175.0,22.4618,0.0484,well1
7175.5,0.1296,0.0248,well1
7176.0,414,0.0113,well1
7176.5,8.8934,0.0576,well1
7177.0,354.2019,0.1513,well1
7177.5,730.8413,0.1674,well1
7178.0,1301.8306,0.1835,well1
7178.5,1136.4073,0.1774,well1
7179.0,933.7701,0.1713,well1
7179.5,1038.2419,0.1755,well1
7180.0,1256.3799,0.1796,well1
7180.5,1578.1553,185,well1
7181.0,1790.5413,0.1904,well1
7181.5,1045.4111,0.1745,well1
7182.0,578226,0.1586,well1
7182.5,709.5649,0.1667,well1
7183.0,1045.1224,0.1748,well1
7183.5,1778.4465,0.1871,well1
7184.0,2750.9917,0.1993,well1
7184.5,2485.2153,0.1957,well1
7185.0,2149.1848,192,well1
7185.5,2345.7468,0.1944,well1
7186.0,2606.5398,0.1969,well1
7186.5,2835.4385,0.1988,well1
7187.0,3074646,0.2007,well1
7187.5,3282146,0.2022,well1
7188.0,3482.5732,0.2037,well1
7188.5,2635592,0.1968,well1
7189.0,1911.0051,0.1899,well1
7189.5,986.1265,0.1726,well1
7190.0,419.7002,0.1553,well1
7190.5,81.9328,0.0998,well1
7191.0,3.7895,0.0442,well1
7191.5,3436,0.0672,well1
7192.0,0.5736,0.0263,well1
7192.5,0.0119,0.0169,well1
7193.0,0.4464,0.0104,well1
7193.5,3.2621,63,well1
7194.0,11509,0.0679,well1
7194.5,85091,0.1125,well1
7195.0,484.1529,157,well1
7195.5,1148.5698,0.1769,well1
7196.0,2483.3582,0.1968,well1
7196.5,3357.7954,0.2026,well1
7197.0,4061.7051,0.2084,well1
7197.5,3798.5747,0.2055,well1
7198.0,3177.9749,0.2025,well1
7198.5,1899.1643,0.1893,well1
7199.0,1124.4064,0.1761,well1
7199.5,642.8935,0.1647,well1
7200.0,456158,0.1533,well1
7200.5,629.7735,0.1642,well1
7201.0,1019.2236,0.1751,well1
7201.5,1493.6335,0.1837,well1
7202.0,1831.0455,0.1923,well1
7202.5,669.8726,0.1609,well1
7203.0,161.4516,0.1295,well1
7203.5,26.9754,0.0878,well1
7204.0,2.5952,46,well1
7204.5,1.0959,0.0481,well1
7205.0,0.2198,0.0301,well1
7205.5,0.0194,0.0017,well1
7206.0,0.0,0.0,well1
7206.5,0.0,0.0,well1
7207.0,0.0,0.0,well1
7207.5,0.0,0.0,well1
7208.0,0.0,0.0,well1
7208.5,0.0,0.0,well1
7209.0,0.0,0.0,well1
7209.5,0.0,0.0001,well1
7210.0,0.0,0.0001,well1
7210.5,0.0,0.0003,well1
7211.0,0.0001,0.0011,well1
7211.5,0.0444,0.0232,well1
7212.0,0.2489,0.0299,well1
7212.5,0.1618,0.0238,well1
7213.0,0.2744,0.0177,well1
7213.5,1.3262,0.0524,well1
7214.0,0.2269,0.0053,well1
7214.5,0.0,0.0025,well1
7215.0,0.0,0.0011,well1
7215.5,0.0,0.0004,well1
7216.0,0.0,0.0001,well1
7216.5,0.0,0.0,well1
7217.0,0.0,0.0,well1
7217.5,0.0,0.0,well1
7218.0,0.0,0.0,well1
7218.5,0.0,0.0,well1
7219.0,0.0,0.0,well1
7219.5,0.0,0.0,well1
7220.0,0.0,0.0,well1
7220.5,0.0,0.0,well1
7221.0,0.1877,0.0003,well1
7221.5,15.2242,0.0471,well1
7222.0,187.0035,0.1384,well1
7222.5,370.4644,152,well1
7223.0,593.8434,0.1656,well1
7223.5,484.9368,0.1586,well1
7224.0,325.3279,0.1515,well1
7224.5,80.1888,0.1098,well1
7225.0,8.7047,0.0682,well1
7225.5,1492,0.0462,well1
7226.0,0.2405,0.0242,well1
7226.5,0.1842,0.0239,well1
7227.0,0.3088,0.0417,well1
7227.5,0.13,0.0287,well1
7228.0,0.0102,19,well1
7228.5,0.3344,0.0316,well1
7229.0,1.4383,0.0496,well1
7229.5,2.6288,0.0577,well1
7230.0,4.2449,0.0664,well1
7230.5,2.4402,0.0563,well1
7231.0,1314,0.0471,well1
7231.5,2.3745,56,well1
7232.0,3.7064,0.0657,well1
7232.5,0.7305,0.0236,well1
7233.0,0.1951,0.0187,well1
7233.5,1.8019,0.0467,well1
7234.0,8.53,0.0746,well1
7234.5,31.0336,0.0984,well1
7235.0,74.2539,0.1222,well1
7235.5,55.6641,0.1129,well1
7236.0,35.1356,0.1037,well1
7236.5,21.4212,0.0945,well1
7237.0,14.6631,0.0853,well1
7237.5,16.9419,0.0904,well1
7238.0,22.8095,0.0955,well1
7238.5,31.4701,0.1021,well1
7239.0,43.2206,0.1087,well1
7239.5,51.9764,112,well1
7240.0,59.3179,0.1153,well1
7240.5,58.5971,0.1144,well1
7241.0,63881,0.1135,well1
7241.5,104.1266,0.1257,well1
7242.0,277.08,0.1379,well1
7242.5,1041.3669,0.1717,well1
7243.0,3532.7065,0.2054,well1
7243.5,5077.9058,0.2122,well1
7244.0,6244.8579,0.2189,well1
7244.5,5082.0596,0.2122,well1
7245.0,3905.5181,0.2056,well1
7245.5,3474.6116,0.2035,well1
7246.0,3278.4529,0.2015,well1
7246.5,3851.5991,0.2058,well1
7247.0,4646.0044,0.2102,well1
7247.5,5740458,0.2151,well1
7248.0,6911835,0.2201,well1
7248.5,6038.1895,0.2164,well1
7249.0,5150.7461,0.2126,well1
7249.5,5371.6069,0.2137,well1
7250.0,5651.9951,0.2149,well1
7250.5,5327.3271,0.2135,well1
7251.0,5055.4731,0.2121,well1
7251.5,6075.7847,0.2165,well1
7252.0,7155.4097,0.2208,well1
7252.5,6648542,0.2187,well1
7253.0,6245022,0.2165,well1
7253.5,7878769,0.2225,well1
7254.0,9821.0303,0.2285,well1
7254.5,10046.2861,0.2285,well1
7255.0,9926.2988,0.2285,well1
7255.5,9086.7012,0.2261,well1
7256.0,8636.0283,0.2237,well1
7256.5,10626.8799,0.2297,well1
7257.0,12689.9961,0.2358,well1
7257.5,10359.0762,0.2291,well1
7258.0,7885.5361,0.2225,well1
7258.5,5878.6289,0.2157,well1
7259.0,4632.2729,0.2089,well1
7259.5,4473.4897,0.2094,well1
7260.0,4706.1797,0.2098,well1
7260.5,5581.0864,0.2146,well1
